booking_id,booking_date,arrival_date,lead_time,customer_country,market_segment,repeated_guest,customer_type,adults,children,rooms,stay_length,room_type,reserved_rate,deposit_type,special_requests,booking_channel,cancelled,cancellation_date,occupancy_level,holiday,event,cancellation_reason,revenue,est_revpar,arrival_weekday,booking_month,arrival_month
BK100040,2023-06-13,2023-08-18,66,ESP,Corporate,0,Transient,1,0,1,6,B,182,No Deposit,0,OTA,0,,Peak,0,0,,1092,154.7,4,6,8
BK100041,2024-12-15,2025-04-23,129,ESP,Online TA,0,Transient,1,0,1,2,A,93,No Deposit,2,OTA,1,2024-12-21,Medium,0,0,Illness,186,55.8,2,12,4
BK100042,2024-03-08,2024-06-20,104,BRA,Offline TA/TO,0,Transient,2,1,1,7,A,129,No Deposit,1,OTA,0,,High,0,0,,903,96.75,3,3,6
BK100043,2023-12-15,2023-12-23,8,GBR,Direct,0,Transient,1,0,1,2,A,120,No Deposit,0,Travel Agent,0,,Peak,0,0,,240,96.0,5,12,12
BK100044,2023-10-12,2023-11-15,34,ITA,Direct,0,Transient,2,1,1,4,D,145,No Deposit,0,Direct,0,,Low,0,0,,580,72.5,2,10,11
BK100045,2023-06-09,2023-06-13,4,CHN,Online TA,0,Transient,2,0,1,1,D,201,Non Refund,0,OTA,0,,High,0,0,,201,150.75,1,6,6
BK100046,2023-08-09,2023-08-19,10,ITA,Direct,0,Contract,2,0,1,3,A,132,Refundable,2,OTA,0,,Peak,0,0,,396,112.2,5,8,8
BK100047,2025-02-20,2025-03-14,22,BRA,Offline TA/TO,0,Transient,1,0,1,3,C,82,No Deposit,2,Direct,0,,Medium,0,0,,246,45.1,4,2,3
BK100048,2023-12-11,2023-12-15,4,FRA,Offline TA/TO,0,Transient,2,0,1,6,B,181,No Deposit,0,OTA,0,,Peak,0,0,,1086,144.8,4,12,12
BK100049,2023-04-15,2023-05-03,18,JPN,Online TA,0,Transient,2,0,1,7,D,186,No Deposit,1,Direct,0,,Medium,0,0,,1302,120.9,2,4,5
BK100050,2023-04-05,2023-05-15,40,JPN,Complementary,0,Transient,4,1,1,3,B,159,No Deposit,0,OTA,0,,Medium,0,0,,477,103.35,0,4,5
BK100051,2024-01-25,2024-02-06,12,FRA,Direct,1,Transient,2,0,1,1,B,123,No Deposit,0,OTA,1,2024-01-26,Low,0,0,Corporate reshuffling,123,61.5,1,1,2
BK100052,2023-04-10,2023-04-19,9,USA,Online TA,0,Transient-Party,2,0,1,3,A,109,No Deposit,0,OTA,0,,Medium,0,0,,327,65.4,2,4,4
BK100053,2024-01-03,2024-01-15,12,FRA,Direct,0,Group,2,0,3,8,B,137,Non Refund,0,OTA,0,,Low,0,0,,3288,61.65,0,1,1
BK100054,2025-05-17,2025-05-26,9,BRA,Direct,0,Transient-Party,2,1,1,5,A,86,Refundable,0,Direct,0,,Medium,0,0,,430,55.9,0,5,5
BK100055,2023-12-19,2024-02-22,65,ESP,Corporate,0,Transient-Party,2,1,1,2,A,82,Refundable,0,Direct,0,,Low,0,0,,164,41.0,3,12,2
BK100056,2024-09-10,2024-11-11,62,CAN,Corporate,1,Transient,2,1,1,2,D,151,Non Refund,0,OTA,0,,Low,0,0,,302,75.5,0,9,11
BK100057,2023-09-28,2024-01-16,110,ITA,Online TA,0,Transient-Party,2,0,1,8,C,59,No Deposit,1,OTA,0,,Low,0,0,,472,26.55,1,9,1
BK100058,2025-04-06,2025-06-14,69,AUS,Corporate,0,Transient,2,0,1,3,B,152,No Deposit,1,OTA,0,,High,0,0,,456,114.0,5,4,6
BK100059,2023-02-14,2023-03-25,39,IND,Direct,0,Transient,2,0,1,2,B,148,No Deposit,3,OTA,0,,Medium,0,0,,296,81.4,5,2,3
BK100060,2025-01-17,2025-03-12,54,FRA,Complementary,0,Transient,3,0,1,1,B,131,Non Refund,0,Direct,0,,Medium,0,0,,131,72.05,2,1,3
BK100061,2024-04-15,2024-05-14,29,DEU,Online TA,0,Transient,2,0,1,1,A,104,Non Refund,0,OTA,0,,Medium,0,0,,104,67.6,1,4,5
BK100062,2024-07-03,2024-08-21,49,JPN,Offline TA/TO,0,Transient,1,2,1,4,C,124,Refundable,1,Travel Agent,0,,Peak,0,0,,496,105.4,2,7,8
BK100063,2023-05-08,2023-05-09,1,CAN,Online TA,0,Transient-Party,2,0,1,2,C,91,No Deposit,0,OTA,0,,Medium,0,0,,182,59.15,1,5,5
BK100064,2024-01-23,2024-01-24,1,FRA,Direct,0,Transient,2,0,1,5,B,118,No Deposit,0,Direct,0,,Low,0,0,,590,53.1,2,1,1
BK100065,2023-03-22,2023-05-01,40,DEU,Online TA,0,Transient,2,2,1,4,A,103,No Deposit,0,OTA,0,,Medium,0,1,,412,66.95,0,3,5
BK100066,2024-07-19,2024-08-14,26,IND,Online TA,0,Transient,2,0,1,3,A,123,Refundable,2,Direct,0,,Peak,0,0,,369,104.55,2,7,8
BK100067,2023-10-28,2023-10-31,3,FRA,Online TA,1,Transient,2,0,1,5,E,213,No Deposit,1,OTA,0,,Medium,0,0,,1065,127.8,1,10,10
BK100068,2025-04-29,2025-06-21,53,USA,Online TA,0,Transient,4,1,1,4,A,125,Refundable,0,OTA,0,,High,0,0,,500,93.75,5,4,6
BK100069,2024-10-05,2024-10-25,20,JPN,Complementary,0,Transient,2,0,1,1,A,92,No Deposit,0,Corporate,0,,Medium,0,1,,92,55.2,4,10,10
BK100070,2024-09-25,2024-12-14,80,ITA,Online TA,0,Transient,2,0,1,4,A,120,Non Refund,2,OTA,1,2024-12-01,Peak,0,0,Illness,480,96.0,5,9,12
BK100071,2025-06-25,2025-07-28,33,ESP,Online TA,0,Transient,2,1,1,4,D,233,Refundable,1,Direct,1,2025-07-26,Peak,0,0,Travel issue,932,209.7,0,6,7
BK100072,2025-06-01,2025-06-05,4,IND,Corporate,0,Group,2,0,2,5,E,212,No Deposit,1,Direct,0,,High,0,0,,2120,159.0,3,6,6
BK100073,2024-01-06,2024-01-09,3,ITA,Direct,1,Transient,2,1,1,2,A,86,No Deposit,1,Direct,0,,Low,0,0,,172,38.7,1,1,1
BK100074,2024-08-14,2024-10-14,61,JPN,Groups,0,Transient,2,0,1,6,C,89,No Deposit,0,Travel Agent,0,,Medium,0,0,,534,53.4,0,8,10
BK100075,2023-07-16,2023-07-21,5,CHN,Corporate,0,Transient,2,0,1,3,D,200,Refundable,0,OTA,0,,Peak,0,0,,600,180.0,4,7,7
BK100076,2024-12-22,2025-02-27,67,USA,Online TA,0,Transient,2,1,1,4,A,89,Non Refund,2,Direct,1,2024-12-25,Low,0,0,Travel issue,356,44.5,3,12,2
BK100077,2023-03-13,2023-03-23,10,BRA,Groups,0,Transient,1,0,1,1,B,139,No Deposit,0,Direct,0,,Medium,0,0,,139,76.45,3,3,3
BK100078,2023-02-16,2023-03-05,17,JPN,Online TA,0,Transient,2,2,1,5,C,94,Non Refund,3,Direct,0,,Medium,0,0,,470,51.7,6,2,3
BK100079,2024-11-08,2024-11-11,3,ESP,Online TA,0,Transient,2,0,1,5,A,90,No Deposit,1,OTA,0,,Low,0,0,,450,45.0,0,11,11
BK100080,2023-08-22,2023-09-26,35,CHN,Online TA,0,Transient-Party,1,1,1,6,C,109,Non Refund,0,Travel Agent,0,,High,0,0,,654,76.3,1,8,9
BK100081,2025-03-02,2025-03-30,28,DEU,Corporate,0,Transient,2,0,1,6,B,128,No Deposit,1,Direct,0,,Medium,0,0,,768,70.4,6,3,3
BK100082,2023-10-24,2023-12-03,40,BRA,Online TA,0,Transient,1,0,1,4,B,141,No Deposit,0,OTA,1,2023-11-23,Peak,0,0,Change of dates,564,112.8,6,10,12
BK100083,2023-03-23,2023-04-08,16,CHN,Direct,0,Transient,2,0,1,8,A,103,Refundable,0,Direct,0,,Medium,0,0,,824,61.8,5,3,4
BK100084,2025-05-25,2025-10-17,145,IND,Online TA,0,Transient,2,0,1,2,C,99,No Deposit,1,OTA,0,,Medium,0,0,,198,59.4,4,5,10
BK100085,2023-08-27,2023-09-13,17,GBR,Online TA,0,Transient,2,0,1,1,B,167,No Deposit,2,Direct,0,,High,0,0,,167,116.9,2,8,9
BK100086,2025-06-06,2025-06-14,8,USA,Offline TA/TO,0,Transient,2,0,1,3,B,146,No Deposit,2,OTA,0,,High,0,0,,438,109.5,5,6,6
BK100087,2023-04-14,2023-04-27,13,DEU,Offline TA/TO,0,Transient,3,0,1,2,E,210,No Deposit,0,OTA,0,,Medium,0,0,,420,126.0,3,4,4
BK100088,2024-01-25,2024-01-30,5,GBR,Online TA,0,Transient,2,0,1,1,B,123,Refundable,0,OTA,1,2024-01-29,Low,0,0,Budget approval delay,123,55.35,1,1,1
BK100089,2023-10-12,2024-01-25,105,GBR,Corporate,0,Group,1,0,4,3,B,122,Non Refund,1,Direct,0,,Low,1,0,,1464,54.9,3,10,1
BK100090,2024-04-09,2024-05-12,33,USA,Corporate,0,Transient,1,0,1,3,D,183,Refundable,1,Direct,0,,Medium,0,0,,549,118.95,6,4,5
BK100091,2024-10-12,2024-10-23,11,CAN,Offline TA/TO,0,Transient,2,1,1,3,A,91,No Deposit,0,OTA,0,,Medium,0,0,,273,54.6,2,10,10
BK100092,2025-05-04,2025-05-21,17,USA,Online TA,0,Transient,2,0,1,2,B,173,Refundable,2,OTA,0,,Medium,0,1,,346,112.45,2,5,5
BK100093,2024-01-09,2024-01-23,14,FRA,Direct,0,Transient,2,1,1,2,D,149,Non Refund,0,OTA,0,,Low,1,0,,298,67.05,1,1,1
BK100094,2023-06-16,2023-06-26,10,IND,Offline TA/TO,0,Transient,2,0,1,2,A,100,Refundable,0,OTA,0,,High,0,0,,200,75.0,0,6,6
BK100095,2024-01-15,2024-01-18,3,ESP,Online TA,1,Transient,2,0,1,3,E,172,Non Refund,1,Corporate,0,,Low,0,0,,516,77.4,3,1,1
BK100096,2023-12-30,2024-01-14,15,CHN,Complementary,0,Transient,2,0,1,2,C,84,Refundable,0,OTA,0,,Low,0,0,,168,37.8,6,12,1
BK100097,2023-08-03,2023-10-01,59,USA,Online TA,0,Transient,2,0,1,2,B,124,Non Refund,0,OTA,0,,Medium,0,0,,248,74.4,6,8,10
BK100098,2024-11-17,2024-12-03,16,AUS,Corporate,1,Transient,1,0,1,1,A,125,Non Refund,0,OTA,0,,Peak,0,0,,125,100.0,1,11,12
BK100099,2023-10-01,2023-10-03,2,DEU,Online TA,0,Transient,2,1,1,4,A,116,Refundable,0,Travel Agent,0,,Medium,0,0,,464,69.6,1,10,10
BK100100,2024-12-19,2025-01-27,39,FRA,Online TA,0,Transient-Party,1,0,1,3,A,75,Non Refund,0,OTA,1,2025-01-11,Low,0,0,Illness,225,33.75,0,12,1
BK100101,2024-11-30,2024-12-04,4,JPN,Complementary,0,Group,2,0,2,2,D,209,Refundable,1,OTA,0,,Peak,0,0,,836,167.2,2,11,12
BK100102,2024-10-25,2024-10-27,2,JPN,Direct,0,Transient,2,0,1,5,B,140,Non Refund,3,OTA,0,,Medium,0,0,,700,84.0,6,10,10
BK100103,2023-03-15,2023-05-05,51,IND,Offline TA/TO,0,Group,2,0,2,1,C,91,Non Refund,0,Direct,0,,Medium,0,0,,182,59.15,4,3,5
BK100104,2024-09-15,2024-11-13,59,BRA,Direct,0,Transient,1,0,1,1,B,122,No Deposit,0,OTA,0,,Low,0,0,,122,61.0,2,9,11
BK100105,2024-10-12,2025-01-21,101,FRA,Online TA,0,Transient,1,0,1,4,C,68,No Deposit,0,Direct,1,2024-11-12,Low,0,0,Budget approval delay,272,30.6,1,10,1
BK100106,2023-06-25,2023-10-26,123,USA,Online TA,0,Transient,1,0,1,3,E,197,Refundable,1,OTA,0,,Medium,0,0,,591,118.2,3,6,10
BK100107,2024-06-30,2024-07-16,16,USA,Offline TA/TO,0,Transient,2,0,1,4,C,124,No Deposit,0,OTA,0,,Peak,1,0,,496,111.6,1,6,7
BK100108,2025-01-16,2025-01-20,4,DEU,Online TA,0,Transient,4,1,1,3,A,88,No Deposit,0,Direct,0,,Low,1,0,,264,39.6,0,1,1
BK100109,2023-09-08,2023-09-19,11,ITA,Direct,0,Transient,2,0,1,2,C,107,No Deposit,0,Direct,0,,High,0,1,,214,74.9,1,9,9
BK100110,2023-06-17,2023-07-05,18,CAN,Corporate,1,Transient,2,0,1,1,C,117,Refundable,0,OTA,0,,Peak,1,0,,117,105.3,2,6,7
BK100111,2024-04-18,2024-04-20,2,GBR,Groups,0,Transient,2,0,1,4,A,109,No Deposit,0,Direct,0,,Medium,0,0,,436,65.4,5,4,4
BK100112,2024-01-24,2024-01-24,0,GBR,Groups,0,Transient,2,0,1,2,C,74,Refundable,1,OTA,0,,Low,1,0,,148,33.3,2,1,1
BK100113,2023-10-04,2023-10-14,10,JPN,Direct,0,Transient,2,0,1,2,D,158,No Deposit,0,OTA,0,,Medium,0,0,,316,94.8,5,10,10
BK100114,2024-10-17,2025-01-10,85,IND,Online TA,0,Contract,2,0,1,4,D,147,No Deposit,2,Direct,1,2024-10-24,Low,0,0,Found cheaper option,588,66.15,4,10,1
BK100115,2024-12-05,2024-12-06,1,IND,Corporate,0,Transient,2,0,1,2,E,257,No Deposit,0,OTA,0,,Peak,0,0,,514,205.6,4,12,12
BK100116,2024-07-24,2024-08-21,28,GBR,Online TA,0,Transient,3,0,1,3,D,192,Non Refund,1,OTA,0,,Peak,0,0,,576,163.2,2,7,8
BK100117,2023-08-13,2023-08-24,11,ITA,Offline TA/TO,0,Transient,2,0,1,5,D,213,No Deposit,1,Direct,0,,Peak,0,0,,1065,181.05,3,8,8
BK100118,2024-12-02,2025-01-26,55,DEU,Direct,0,Transient,2,0,1,2,C,74,No Deposit,0,OTA,0,,Low,0,0,,148,33.3,6,12,1
BK100119,2023-11-29,2023-12-14,15,BRA,Direct,0,Transient,1,0,1,3,B,159,No Deposit,1,OTA,0,,Peak,0,0,,477,127.2,3,11,12
BK100120,2025-05-13,2025-06-23,41,JPN,Online TA,0,Transient,2,0,1,1,B,171,Non Refund,0,Direct,0,,High,0,0,,171,128.25,0,5,6
BK100121,2025-02-25,2025-03-02,5,CAN,Direct,0,Transient,4,0,1,4,E,177,Refundable,0,Direct,0,,Medium,0,0,,708,97.35,6,2,3
BK100122,2025-03-05,2025-05-23,79,CHN,Online TA,0,Transient,2,0,1,2,D,167,Refundable,1,OTA,1,2025-03-29,Medium,0,0,Budget approval delay,334,108.55,4,3,5
BK100123,2023-02-27,2023-04-11,43,USA,Direct,0,Transient,2,2,1,1,A,92,No Deposit,2,OTA,0,,Medium,0,0,,92,55.2,1,2,4
BK100124,2023-08-23,2023-10-06,44,GBR,Direct,0,Transient,3,0,1,2,A,107,No Deposit,2,Direct,0,,Medium,0,0,,214,64.2,4,8,10
BK100125,2025-04-21,2025-07-12,82,GBR,Online TA,0,Transient,4,0,1,1,B,190,Non Refund,0,Direct,0,,Peak,0,0,,190,171.0,5,4,7
BK100126,2023-02-02,2023-02-09,7,IND,Offline TA/TO,0,Transient,1,1,1,2,C,81,No Deposit,0,OTA,0,,Low,0,0,,162,40.5,3,2,2
BK100127,2025-04-04,2025-06-30,87,CHN,Corporate,0,Transient,2,0,1,3,D,184,No Deposit,0,Direct,0,,High,0,0,,552,138.0,0,4,6
BK100128,2023-11-20,2023-11-25,5,IND,Corporate,0,Transient,3,1,1,2,B,131,Non Refund,3,OTA,0,,Low,0,0,,262,65.5,5,11,11
BK100129,2024-02-15,2024-04-26,71,DEU,Direct,0,Transient,2,0,1,3,A,88,Refundable,1,Direct,0,,Medium,0,0,,264,52.8,4,2,4
BK100130,2023-10-02,2023-12-14,73,DEU,Online TA,0,Transient,2,1,1,2,E,261,No Deposit,0,OTA,0,,Peak,0,0,,522,208.8,3,10,12
BK100131,2023-03-09,2023-03-26,17,CAN,Online TA,1,Group,2,2,2,1,D,167,No Deposit,0,OTA,0,,Medium,0,0,,334,91.85,6,3,3
BK100132,2023-08-05,2023-09-12,38,BRA,Online TA,0,Transient,3,1,1,7,A,113,Non Refund,0,OTA,0,,High,0,0,,791,79.1,1,8,9
BK100133,2024-08-03,2024-09-24,52,IND,Online TA,0,Group,1,0,2,2,C,82,Refundable,1,OTA,0,,High,0,0,,328,57.4,1,8,9
BK100134,2025-06-16,2025-10-10,116,CAN,Online TA,0,Transient,2,0,1,4,A,97,No Deposit,1,Direct,0,,Medium,0,0,,388,58.2,4,6,10
BK100135,2025-01-05,2025-01-15,10,USA,Online TA,0,Transient,3,1,1,4,C,80,Non Refund,0,Direct,0,,Low,0,0,,320,36.0,2,1,1
BK100136,2023-11-19,2023-12-07,18,BRA,Direct,0,Transient-Party,1,0,1,3,D,210,Non Refund,0,Direct,1,2023-11-28,Peak,0,1,Found cheaper option,630,168.0,3,11,12
BK100137,2023-08-06,2023-09-28,53,IND,Offline TA/TO,0,Transient,2,0,1,1,B,150,No Deposit,0,Direct,1,2023-08-14,High,0,1,Travel issue,150,105.0,3,8,9
BK100138,2024-11-02,2024-11-14,12,IND,Groups,0,Transient,2,0,1,1,C,77,Refundable,0,OTA,0,,Low,0,0,,77,38.5,3,11,11
BK100139,2024-05-26,2024-07-05,40,DEU,Online TA,0,Transient,4,0,1,2,D,225,No Deposit,0,OTA,1,2024-07-03,Peak,0,0,Family emergency,450,202.5,4,5,7
BK100140,2024-02-10,2024-03-17,36,USA,Direct,0,Transient,2,0,1,3,C,89,Refundable,0,OTA,0,,Medium,0,0,,267,48.95,6,2,3
BK100141,2025-06-24,2025-07-13,19,GBR,Online TA,0,Transient-Party,2,0,1,4,A,117,Refundable,0,OTA,0,,Peak,1,0,,468,105.3,6,6,7
BK100142,2024-10-20,2024-10-23,3,IND,Offline TA/TO,0,Transient,2,1,1,1,C,88,No Deposit,0,OTA,0,,Medium,0,0,,88,52.8,2,10,10
BK100143,2024-04-14,2024-05-20,36,JPN,Online TA,0,Transient,2,0,1,4,C,98,Non Refund,0,Travel Agent,0,,Medium,0,0,,392,63.7,0,4,5
BK100144,2023-05-27,2023-06-26,30,GBR,Online TA,0,Transient,2,0,1,1,B,132,No Deposit,0,Direct,0,,High,0,0,,132,99.0,0,5,6
BK100145,2023-09-29,2023-10-12,13,JPN,Corporate,0,Transient,2,0,1,4,C,91,Refundable,2,OTA,0,,Medium,0,0,,364,54.6,3,9,10
BK100146,2023-05-23,2023-06-14,22,USA,Online TA,0,Transient,2,0,1,1,C,109,Non Refund,1,Direct,0,,High,0,0,,109,81.75,2,5,6
BK100147,2023-09-10,2023-09-19,9,IND,Offline TA/TO,0,Transient,2,1,1,3,A,117,No Deposit,0,Direct,0,,High,0,0,,351,81.9,1,9,9
BK100148,2025-02-01,2025-02-15,14,USA,Online TA,0,Contract,2,0,1,3,C,79,No Deposit,0,OTA,0,,Low,0,0,,237,39.5,5,2,2
BK100149,2024-07-28,2024-08-24,27,IND,Online TA,1,Transient,2,0,1,2,B,174,No Deposit,3,OTA,0,,Peak,1,0,,348,147.9,5,7,8
BK100150,2024-07-05,2024-07-05,0,ITA,Direct,0,Contract,1,2,1,4,C,113,Non Refund,1,OTA,0,,Peak,0,0,,452,101.7,4,7,7
BK100151,2023-09-27,2023-10-09,12,ESP,Online TA,0,Transient,2,1,1,1,A,95,No Deposit,0,OTA,1,2023-10-04,Medium,0,0,Family emergency,95,57.0,0,9,10
BK100152,2025-02-03,2025-02-08,5,ESP,Groups,0,Group,1,0,3,1,C,73,Refundable,0,OTA,0,,Low,0,0,,219,36.5,5,2,2
BK100153,2024-08-21,2024-10-31,71,USA,Direct,0,Transient,2,0,1,4,A,113,No Deposit,1,OTA,1,2024-09-16,Medium,0,0,Change of dates,452,67.8,3,8,10
BK100154,2024-03-14,2024-04-02,19,BRA,Direct,0,Transient,1,0,1,3,B,112,Non Refund,0,Travel Agent,0,,Medium,0,0,,336,67.2,1,3,4
BK100155,2024-08-20,2024-10-02,43,ESP,Groups,0,Transient,3,0,1,4,C,68,No Deposit,2,OTA,0,,Medium,0,0,,272,40.8,2,8,10
BK100156,2024-02-13,2024-03-19,35,USA,Online TA,0,Group,2,0,4,5,A,98,Refundable,0,Direct,0,,Medium,0,0,,1960,53.9,1,2,3
BK100157,2024-01-06,2024-02-17,42,ITA,Corporate,0,Group,2,0,2,3,B,118,No Deposit,0,OTA,1,2024-02-09,Low,0,0,Change of plans,708,59.0,5,1,2
BK100158,2023-08-13,2023-08-16,3,BRA,Corporate,0,Group,1,0,2,5,A,137,No Deposit,2,OTA,0,,Peak,0,0,,1370,116.45,2,8,8
BK100159,2023-05-22,2023-06-17,26,CHN,Direct,0,Transient,1,0,1,2,C,108,No Deposit,2,Direct,0,,High,0,0,,216,81.0,5,5,6
BK100160,2024-06-05,2024-06-27,22,FRA,Online TA,0,Transient,2,0,1,3,B,166,Non Refund,0,Direct,0,,High,0,0,,498,124.5,3,6,6
